Neighborhood,Latitude,Longitude
Discovery Gardens,25.039,55.1445
Dubai Silicon Oasis,25.1279,55.3863
Jumeirah Village Circle,25.0602,55.2094
Dubai Sports City,25.0391,55.2176
Remraam,25.0014,55.2508
Al Furjan,25.0252,55.1459
Jumeirah Village Triangle,25.0473,55.19
Motor City,25.045,55.2397
Damac Hills,25.0275,55.2524
Al Sufouh,25.1134,55.1762
DIFC,25.2106,55.2794
Business Bay,25.1832,55.2729
Jumeirah Lakes Towers,25.0693,55.1417
Barsha Heights,25.097,55.1776
Emirates Living,25.0496,55.174
Dubai Marina,25.0805,55.1403
Dubai Investments Park,24.979,55.1762
Jumeirah Beach Residence,25.0769,55.1341
Dubai Festival City,25.2171,55.3614
Downtown,25.195,55.2784
Zabeel,25.2231,55.3061
Jumeirah,25.2016,55.2453
Palm Jumeirah,25.1124,55.139
